Ideal pulse shape of 1,2 an 3 photons events.
laser=1540nm (0.8eV)
bias current = 10.5 uA 
temperature = 44mK
 
time	Amp_1ph_0.8eV	Amp_2ph_1.6eV	Amp_3ph_2.4eV
s	V	V	V

2.53612E-6	-0.03144	-0.06016	-0.0868
2.57612E-6	-0.0312	-0.05974	-0.08665
2.61612E-6	-0.03088	-0.05866	-0.08616
2.65612E-6	-0.03076	-0.05864	-0.08542
2.69612E-6	-0.03052	-0.05855	-0.08426
2.73612E-6	-0.0304	-0.05817	-0.08392
2.77612E-6	-0.03009	-0.05713	-0.08368
2.81612E-6	-0.02996	-0.05717	-0.08316
2.85612E-6	-0.02977	-0.05707	-0.08213
2.89612E-6	-0.02968	-0.05671	-0.08198
2.93612E-6	-0.02938	-0.05571	-0.08151
2.97612E-6	-0.02925	-0.05577	-0.08079
3.01612E-6	-0.02905	-0.05561	-0.07992
3.05612E-6	-0.02897	-0.05521	-0.07983
3.09612E-6	-0.0287	-0.0544	-0.07942
3.13612E-6	-0.02852	-0.05438	-0.0789
3.17612E-6	-0.0283	-0.05414	-0.07812
3.21612E-6	-0.02828	-0.05388	-0.07752
3.25612E-6	-0.02799	-0.05291	-0.07711
3.29612E-6	-0.02777	-0.05297	-0.07679
3.33612E-6	-0.02761	-0.05259	-0.07578
3.37612E-6	-0.02761	-0.05222	-0.07547
3.41612E-6	-0.0273	-0.05144	-0.07528
3.45612E-6	-0.02715	-0.05147	-0.0748
3.49612E-6	-0.0269	-0.05118	-0.07422
3.53612E-6	-0.02688	-0.05094	-0.07391
3.57612E-6	-0.02665	-0.0502	-0.07305
3.61612E-6	-0.02636	-0.05029	-0.07281
3.65612E-6	-0.02614	-0.05	-0.07233
3.69612E-6	-0.0262	-0.04961	-0.07184
3.73612E-6	-0.02599	-0.04908	-0.0715
3.77612E-6	-0.02576	-0.0492	-0.07101
3.81612E-6	-0.02549	-0.04879	-0.07053
3.85612E-6	-0.02553	-0.04843	-0.07026
3.89612E-6	-0.02541	-0.04773	-0.06905
3.93612E-6	-0.02511	-0.04784	-0.06922
3.97612E-6	-0.02486	-0.04748	-0.06895
4.01612E-6	-0.02496	-0.0471	-0.06815
4.05612E-6	-0.02481	-0.04656	-0.0675
4.09612E-6	-0.02452	-0.04678	-0.06722
4.13612E-6	-0.02422	-0.04627	-0.06725
4.17612E-6	-0.02439	-0.04597	-0.06655
4.21612E-6	-0.0242	-0.04538	-0.06558
4.25612E-6	-0.02396	-0.04544	-0.06584
4.29612E-6	-0.02369	-0.04504	-0.06542
4.33612E-6	-0.02379	-0.04474	-0.06492
4.37612E-6	-0.02365	-0.04428	-0.06424
4.41612E-6	-0.0234	-0.04445	-0.06424
4.45612E-6	-0.02305	-0.04397	-0.06409
4.49612E-6	-0.02323	-0.0438	-0.06374
